sum,mean,count
5813998,12948.770601336302,449
5693030,6382.320627802691,892
5643864,12111.296137339055,466
5509008,8222.4,670
5487916,6741.911547911548,814
5472145,12214.609375,448
5470203,16427.036036036036,333
5423144,11612.728051391863,467
5376556,12136.69525959368,443
5315465,11555.358695652174,460
5140576,5881.66590389016,874
5108321,11227.079120879122,455
5079948,4824.262108262108,1053
5058693,3832.3431818181816,1320
5031404,5756.755148741418,874
4956268,5817.215962441314,852
4906023,10573.325431034482,464
4889457,10629.254347826087,460
4875893,10622.860566448802,459
4844154,3564.4988962472407,1359
4824428,5209.965442764579,926
4764124,10470.602197802198,455
4693587,10181.316702819957,461
4566500,5899.870801033591,774
4557713,9801.533333333333,465
4489635,3416.7694063926942,1314
4438103,9564.877155172413,464
4433272,4861.043859649123,912
4415682,3463.28,1275
4409958,9483.78064516129,465
4382292,3494.650717703349,1254
4381358,9462.976241900647,463
4377399,9413.76129032258,465
4354653,3557.723039215686,1224
4352990,4752.172489082969,916
4346582,4693.933045356372,926
4272974,9432.613686534216,453
4222058,9361.547671840355,451
4175927,9038.80303030303,462
4095937,9163.170022371365,447
4054666,8795.37093275488,461
4013363,8686.932900432901,462
3993275,8913.560267857143,448
3985467,8956.105617977528,445
3950396,8917.372460496614,443
3906382,8473.7136659436,461
3903792,8542.21444201313,457
3897916,8418.82505399568,463
3864180,8862.798165137614,436
3858503,8424.67903930131,458
3802884,8125.820512820513,468
3797785,8515.213004484305,446
3753908,4324.7788018433175,868
3738015,8090.941558441558,462
3723057,8638.183294663573,431
3682305,2789.625,1320
3661395,3289.6630727762804,1113
3654588,3155.9481865284974,1158
3644090,8134.129464285715,448
3602634,3933.0065502183406,916
3570033,2674.18202247191,1335
3564202,8231.41339491917,433
3551645,11838.816666666668,300
3550870,4035.0795454545455,880
3545800,7708.260869565217,460
3536954,4569.708010335918,774
3512702,4221.997596153846,832
3475182,7538.355748373102,461
3443089,7719.930493273542,446
3429782,6038.348591549296,568
3388798,18619.76923076923,182
3356871,3656.722222222222,918
3346416,2523.6923076923076,1326
3311102,3788.4462242562927,874
3293834,7537.377574370709,437
3288878,3962.503614457831,830
3280316,3727.6318181818183,880
3278361,7126.871739130434,460
3253114,3655.1842696629215,890
3237840,2557.5355450236966,1266
3221242,7422.216589861751,434
3206846,3603.1977528089888,890
3198444,7670.1294964028775,417
3173202,6943.549234135668,457
3144590,3682.189695550351,854
3096406,7184.236658932715,431
3090970,3844.490049751244,804
3071667,7012.938356164384,438
3057650,3719.7688564476884,822
3056189,6716.898901098901,455
3053194,3750.8525798525798,814
3047181,7005.013793103448,435
3029285,6599.749455337691,459
3015085,6700.188888888889,450
3002151,6838.612756264237,439
2971334,3439.0439814814813,864
2962122,3373.715261958998,878
2959208,6605.375,448
2942464,6827.062645011601,431
2942079,9251.82075471698,318
2938369,6472.178414096917,454
2920758,6608.049773755656,442
2914494,3296.938914027149,884
2904525,6483.314732142857,448
2868662,3415.0738095238094,840
2814016,3440.117359413203,818
2788282,6380.508009153318,437
2759098,6037.413566739606,457
2756962,6909.679197994988,399
2753883,6012.844978165939,458
2713296,7454.10989010989,364
2711070,5906.470588235294,459
2705742,6615.5061124694375,409
2704468,5943.885714285714,455
2698074,3616.7211796246647,746
2673407,5811.754347826087,460
2664289,5817.224890829694,458
2660710,5834.890350877193,456
2641460,5909.30648769575,447
2641364,2994.7437641723354,882
2619178,2989.9292237442924,876
2591355,5596.879049676026,463
2589366,3060.7163120567375,846
2578056,5780.394618834081,446
2550040,3427.47311827957,744
2515140,3666.3848396501458,686
2453585,6703.784153005465,366
2434556,6339.989583333333,384
2426592,2745.0135746606334,884
2424648,3092.6632653061224,784
2382905,5567.535046728972,428
2382852,5452.75057208238,437
2359885,5175.186403508772,456
2336992,2608.25,896
2328324,2676.2344827586207,870
2326884,2502.025806451613,930
2325792,2742.6792452830186,848
2315198,5055.017467248908,458
2308998,3498.481818181818,660
2294326,2770.9251207729467,828
2291920,2754.7115384615386,832
2290638,2701.2240566037735,848
2285870,2645.6828703703704,864
2273396,2560.1306306306305,888
2256132,2540.689189189189,888
2240329,5103.255125284738,439
